id_periode,id_petani,bulan_tanam,luas_tanam_m2,bulan_panen,luas_panen_m2,produksi_dalam_gunca,gunca_kg,pengeluaran_rp,harga_jual_perkg,hasil_panen_dijual,status_pengelolaan,jml_tanam_padi_1th,jenis_lahan,air_multi_tanam,pemupukan,jenis_pupuk,pengendalian_hama,jenis_hama,penyakit_padi,pestisida,pengendalian_gulma,cara_pengendalian_gulma
PRD057,PTN030,nov - jan,4000,Maret,4000,9.0,1620,3.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumbut dan Menyemprot rumput
PRD058,PTN031,mei - juli,4000,Oktober,4000,9.0,1620,3.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumbut dan Menyemprot rumput
PRD059,PTN031,nov - jan,800,Maret,800,2.0,360,1.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Hama putih, Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD060,PTN032,mei - juli,800,Oktober,800,2.0,360,1.000.000,6500,Ya sebagian,Milik sendiri,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Hama putih , Siput Murbai/Keong","Blas, Bercak daun",Ada,Ada,Mencabut rumput
PRD061,PTN032,feb - apr,1200,April,1200,4.0,720,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Mencabut rumput
PRD062,PTN033,agt - okt,1200,Oktober,1200,4.0,720,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Tidak,Tidak Ada
PRD063,PTN033,feb - apr,3000,April,3000,12.2,2200,1.500.000,6500,Ya seluruhnya,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong, Belalang",TIDAK ADA,Ada,Ada,Mencabut rumput
PRD064,PTN034,agt - okt,3000,Oktober,3000,12.2,2200,1.500.000,6500,Ya seluruhnya,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Tikus, Siput Murbai/Keong, Belalang",TIDAK ADA,Tidak,Ada,Mencabut rumput
PRD065,PTN034,feb - apr,1800,Maret,1800,2.0,360,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Siput Murbai/Keong, Wereng",Blas,Tidak,Ada,Mencabut rumput
PRD066,PTN035,agt - okt,1800,Maret,1800,2.0,360,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Siput Murbai/Keong, Wereng",Blas,Tidak,Ada,Mencabut rumput
