Date,RH_AVG,RH_AVG_SMA30,RH_AVG_EWMA30
2021-07-28,61.0,65.16666666666667,64.6402920514519
2021-07-28,61.0,64.4,64.40543449974533
2021-07-29,61.0,64.26666666666667,64.18572904814886
2021-07-29,61.0,63.86666666666667,63.98019814181667
2021-07-30,68.0,63.7,64.23954019718335
2021-07-31,79.0,63.86666666666667,65.19182792639732
2021-08-01,60.0,63.4,64.8568712859846
2021-08-01,60.0,62.8,64.54352475140495
2021-08-02,62.0,62.266666666666666,64.37942638034656
2021-08-03,60.0,61.8,64.09688274290484
2021-08-03,60.0,61.333333333333336,63.83256772723356
2021-08-04,61.0,61.1,63.64982142225075
2021-08-04,61.0,60.86666666666667,63.47886520146038
2021-08-05,58.0,61.0,63.125390027172614
2021-08-05,58.0,61.13333333333333,62.7947197028389
2021-08-06,56.0,61.1,62.35635068975252
2021-08-06,56.0,61.06666666666667,61.94626354847816
2021-08-07,60.0,61.03333333333333,61.820698158253755
2021-08-07,60.0,60.93333333333333,61.703233760947064
2021-08-08,69.0,61.13333333333333,62.17399287314403
2021-08-08,69.0,61.333333333333336,62.61438042971538
2021-08-09,69.0,61.63333333333333,63.02635588586278
2021-08-09,69.0,61.93333333333333,63.41175228032324
2021-08-10,89.0,63.03333333333333,65.06260697191529
2021-08-10,89.0,64.13333333333334,66.60695490921108
2021-08-11,70.0,64.4,66.82586104410069
2021-08-11,70.0,64.66666666666667,67.0306442025458
2021-08-12,81.0,65.33333333333333,67.93189296367188
2021-08-12,81.0,66.0,68.77499664343499
2021-08-13,75.0,66.46666666666667,69.17660976321338
2021-08-13,75.0,66.93333333333334,69.5523123591351
2021-08-14,70.0,67.23333333333333,69.58119543273929
2021-08-14,70.0,67.53333333333333,69.60821508223998
2021-08-15,72.0,67.9,69.76252378661158
2021-08-15,72.0,68.03333333333333,69.90687709070114
2021-08-16,76.0,67.93333333333334,70.29998179452689
2021-08-16,76.0,68.46666666666667,70.6677249045574
2021-08-17,73.0,68.9,70.8181942655537
2021-08-17,73.0,69.26666666666667,70.95895592584056
