Tanggal,Suhu,Kelembaban,Curah_Hujan
6/14/2011,29.1,62,0
6/15/2011,28.1,67,6
6/16/2011,31,58,0
6/17/2011,30.1,66,0
6/18/2011,28.4,68,0
6/19/2011,29.2,67,0
6/20/2011,29.5,68,0
6/21/2011,28.1,72,0
6/22/2011,29.1,65,8888
6/23/2011,29.6,62,0
6/24/2011,27.9,69,2
6/25/2011,28.7,62,0
6/26/2011,28,68,0
6/27/2011,29.7,61,0
6/28/2011,28.2,74,0
6/29/2011,28.4,72,0
6/30/2011,28,73,0
7/1/2011,27.8,76,8888
7/2/2011,28.5,66,0
7/3/2011,27.5,71,0
7/4/2011,27.8,74,0
7/5/2011,28.2,76,0
7/6/2011,27.8,78,0
7/7/2011,27.9,75,0
7/8/2011,27.9,70,0
7/9/2011,27.9,70,0
7/10/2011,26.3,74,2
7/11/2011,26.4,82,32
7/12/2011,26.2,82,8
7/13/2011,27.2,76,2
7/14/2011,26.8,78,9
7/15/2011,27.2,76,0
7/16/2011,27.2,79,0
7/17/2011,26.5,76,0
7/18/2011,27.2,74,0
7/19/2011,28.3,74,0
7/20/2011,26.9,74,0
7/21/2011,27.7,75,0
7/22/2011,28.6,75,0
7/23/2011,29,71,0
7/24/2011,27.3,74,2
7/25/2011,27.6,73,0
7/26/2011,28.2,72,0
7/27/2011,27.7,73,1
7/28/2011,29,64,0
7/29/2011,28.8,65,0
7/30/2011,29.5,62,0
7/31/2011,27.4,76,0
8/1/2011,27.7,70,0
8/2/2011,28.9,70,0
8/3/2011,28.6,69,0
8/4/2011,28.4,73,0
8/5/2011,27.5,72,0
8/6/2011,27.4,72,0
8/7/2011,27.4,68,0
8/8/2011,28.1,73,0
8/9/2011,28.1,76,8888
8/10/2011,27.6,76,0
8/11/2011,27.9,74,0
8/12/2011,27.6,77,0
8/13/2011,24.3,92,33
8/14/2011,27.6,76,0
8/15/2011,27.7,78,9
8/16/2011,27.8,80,0
8/17/2011,27.8,78,0
8/18/2011,26.4,85,8888
8/19/2011,26,85,6
8/20/2011,26.8,78,0
8/21/2011,27.4,78,0
8/22/2011,28.2,76,0
8/23/2011,27.2,77,8888
8/24/2011,26.5,82,6
8/25/2011,26.4,82,0
8/26/2011,27.9,74,0
8/27/2011,25.9,77,5
8/28/2011,25.2,82,5
8/29/2011,25,89,4
8/30/2011,27.9,72,0
8/31/2011,27.7,76,0
9/1/2011,27.4,80,0
9/2/2011,28,76,0
9/3/2011,28.2,76,0
9/4/2011,28.7,72,1
9/5/2011,27.6,76,0
9/6/2011,27.6,80,8888
9/7/2011,26.3,83,8888
9/8/2011,28,73,0
9/9/2011,28,78,8888
9/10/2011,25.8,83,52
9/11/2011,23.6,94,46
9/12/2011,27.2,73,0
9/13/2011,27.2,80,0
9/14/2011,27.2,83,1
9/15/2011,26.9,85,8888
9/16/2011,28.1,79,0
9/17/2011,27.4,80,0
9/18/2011,27.7,76,0
9/19/2011,27.7,76,0
9/20/2011,27.2,73,0
9/21/2011,26.9,80,13
9/22/2011,28.1,68,0
9/23/2011,26.7,79,0
9/24/2011,27.6,82,0
9/25/2011,26.8,84,0
9/26/2011,25.4,81,0
9/27/2011,25,85,11
9/28/2011,24.6,92,7
9/29/2011,25.2,86,5
9/30/2011,24.4,91,2
10/1/2011,27.7,74,0
10/2/2011,27.2,77,0
10/3/2011,27.9,76,0
10/4/2011,27.2,76,6
10/5/2011,25.3,89,1
10/6/2011,27,78,0
10/7/2011,26.7,81,0
10/8/2011,25.6,82,0
10/9/2011,26,82,8888
10/10/2011,26.5,80,8888
10/11/2011,27.4,78,8888
10/12/2011,27,74,0
10/13/2011,27.5,79,0
10/14/2011,26.8,80,0
10/15/2011,26.9,81,0
10/16/2011,26.8,83,0
10/17/2011,27.6,83,0
10/18/2011,27.6,83,1
10/19/2011,26.8,85,8
10/20/2011,26.5,86,0
10/21/2011,27,78,0
10/22/2011,26.3,86,8888
10/23/2011,27,82,8888
10/24/2011,26.6,88,1
10/25/2011,25.8,88,1
10/26/2011,26.3,86,20
10/27/2011,26.3,86,0
10/28/2011,27.3,82,1
10/29/2011,26.9,88,8888
10/30/2011,25.3,94,3
10/31/2011,25.3,94,2
11/1/2011,26.5,83,0
11/2/2011,27.2,82,0
11/3/2011,26.1,84,0
11/4/2011,25.3,88,0
11/5/2011,23.9,94,20
11/6/2011,25.5,83,0
11/7/2011,26.4,80,0
11/8/2011,26.1,80,0
11/9/2011,26.9,79,0
11/10/2011,26.6,79,8888
11/11/2011,24.6,92,7
11/12/2011,26.6,80,0
11/13/2011,26.4,81,0
11/14/2011,26,84,1
11/15/2011,26.6,81,0
11/16/2011,26.1,82,29
11/17/2011,26.3,85,0
11/18/2011,26.7,81,8888
11/19/2011,26.8,83,0
11/20/2011,27.2,80,0
11/21/2011,25.9,86,1
11/22/2011,26.4,83,8
11/23/2011,26.9,83,0
11/24/2011,26.7,80,1
11/25/2011,26.9,85,0
11/26/2011,26.9,85,8888
11/27/2011,24.8,94,10
11/28/2011,26.1,85,0
11/29/2011,26.1,90,0
11/30/2011,26.4,86,89
12/1/2011,26,84,1
12/2/2011,27.9,70,8888
12/3/2011,27.6,78,0
12/4/2011,27.2,77,0
12/5/2011,26.1,84,0
12/6/2011,27.2,78,0
12/7/2011,26.2,88,12
12/8/2011,27,83,9
12/9/2011,27,84,0
12/10/2011,26.7,82,2
12/11/2011,25.5,92,9
12/12/2011,25.2,89,16
12/13/2011,25.4,86,8888
12/14/2011,26,82,4
12/15/2011,25.7,86,0
12/16/2011,25.9,85,8888
12/17/2011,25.6,89,8
12/18/2011,26,88,8
12/19/2011,26.3,84,0
12/20/2011,26.2,86,2
12/21/2011,26.4,83,0
12/22/2011,25.6,90,31
12/23/2011,25.8,87,19
12/24/2011,26,88,4
12/25/2011,27,83,0
12/26/2011,27.6,84,1
12/27/2011,27.3,83,0
12/28/2011,27.3,77,0
12/29/2011,26.6,82,0
12/30/2011,26.5,85,8888
12/31/2011,26.3,82,0
1/1/2012,26.5,84,0
1/2/2012,26.1,86,5
1/3/2012,26.3,86,0
1/4/2012,26.5,84,9
1/5/2012,24.8,93,53
1/6/2012,25.3,89,0
1/7/2012,26.8,79,0
1/8/2012,26.5,80,8888
1/9/2012,24.7,88,1
1/10/2012,26,82,4
1/11/2012,25.7,84,0
1/12/2012,25.3,88,2
1/13/2012,26.4,80,8888
1/14/2012,25.5,86,17
1/15/2012,26.5,84,0
1/16/2012,27.3,81,1
1/17/2012,27.4,79,0
1/18/2012,26.3,85,0
1/19/2012,24.9,94,1
1/20/2012,25.8,84,0
1/21/2012,25.7,85,0
1/22/2012,26.2,82,0
1/23/2012,26.2,83,0
1/24/2012,26.4,83,0
1/25/2012,26.2,84,0
1/26/2012,27.3,76,0
1/27/2012,26.6,81,0
1/28/2012,26.7,82,0
1/29/2012,26.4,81,0
1/30/2012,25,88,8888
1/31/2012,26.2,82,0
2/1/2012,27.1,79,5
2/2/2012,26.2,88,1
2/3/2012,26.7,80,0
2/4/2012,26.5,80,0
2/5/2012,26,85,25
2/6/2012,26.2,84,0
2/7/2012,26.1,80,0
2/8/2012,26.8,78,0
2/9/2012,26.9,80,0
2/10/2012,26.6,80,5
2/11/2012,26.5,87,2
2/12/2012,26,87,3
2/13/2012,27.3,83,20
2/14/2012,26.6,82,0
2/15/2012,26.5,82,0
2/16/2012,26.9,84,0
2/17/2012,26,81,0
2/18/2012,26.3,83,0
2/19/2012,26.1,81,8888
2/20/2012,27.4,78,0
2/21/2012,26.6,84,7
2/22/2012,26.5,83,2
2/23/2012,26.2,88,3
2/24/2012,27.2,83,3
2/25/2012,26.8,83,8888
2/26/2012,27,82,0
2/27/2012,26.3,85,2
2/28/2012,25.7,87,2
2/29/2012,24.5,90,1
3/1/2012,25.6,82,0
3/2/2012,25.2,82,0
3/3/2012,25.5,84,2
3/4/2012,26,86,2
3/5/2012,26.3,82,0
3/6/2012,25.2,91,21
3/7/2012,25.6,83,0
3/8/2012,24.8,83,0
3/9/2012,26.7,77,0
3/10/2012,26.1,78,0
3/11/2012,25,93,8
3/12/2012,25.6,90,14
3/13/2012,26.8,82,0
3/14/2012,25.1,89,6
3/15/2012,27.1,82,0
3/16/2012,27.3,82,0
3/17/2012,27,80,0
3/18/2012,26.7,80,1
3/19/2012,26,85,0
3/20/2012,26.6,82,0
3/21/2012,27,78,0
3/22/2012,26.6,76,0
3/23/2012,26.4,76,0
3/24/2012,25.8,84,3
3/25/2012,27.4,79,8888
3/26/2012,27.6,74,0
3/27/2012,26.5,86,8
3/28/2012,24.3,96,36
3/29/2012,26.5,83,0
3/30/2012,26.5,82,0
3/31/2012,26.7,82,0
4/1/2012,26.5,78,0
4/2/2012,27.6,77,0
4/3/2012,27.2,83,1
4/4/2012,27.5,79,0
4/5/2012,25.8,85,4
4/6/2012,25.7,87,0
4/7/2012,26.3,82,0
4/8/2012,26.7,80,0
4/9/2012,26.6,82,0
4/10/2012,23.7,96,55
4/11/2012,25.4,84,0
4/12/2012,26.2,84,0
4/13/2012,25.6,86,1
4/14/2012,26,86,7
4/15/2012,28,78,0
4/16/2012,27.2,80,8888
4/17/2012,27.3,81,4
4/18/2012,26.7,88,2
4/19/2012,26.9,84,0
4/20/2012,27.4,76,0
4/21/2012,27.2,76,0
4/22/2012,27.8,76,0
4/23/2012,28.1,77,0
4/24/2012,27.5,81,0
4/25/2012,27.6,82,8888
4/26/2012,27.5,78,0
4/27/2012,28.3,73,0
4/28/2012,27,80,5
4/29/2012,25.8,86,8888
4/30/2012,27.7,76,0
5/1/2012,27.2,84,1
5/2/2012,27.9,76,0
5/3/2012,28.7,72,8
5/4/2012,27,82,4
5/5/2012,27.5,77,0
5/6/2012,28.6,76,2
5/7/2012,27.9,76,0
5/8/2012,28.2,70,0
5/9/2012,27.1,80,0
5/10/2012,27.6,80,0
5/11/2012,27.5,82,0
5/12/2012,27.7,78,0
5/13/2012,28.2,75,0
5/14/2012,28.8,73,0
5/15/2012,28.2,75,0
5/16/2012,27.4,78,4
5/17/2012,27.9,79,2
5/18/2012,28.8,69,0
5/19/2012,28.3,77,0
5/20/2012,28.1,76,0
5/21/2012,27.7,78,1
5/22/2012,26.8,80,21
5/23/2012,26.7,83,3
5/24/2012,26.1,89,12
5/25/2012,26.3,81,13
5/26/2012,25.8,88,4
5/27/2012,26.4,84,4
5/28/2012,26,86,4
5/29/2012,28.4,72,0
5/30/2012,26.9,80,16
5/31/2012,28.6,68,8888
6/1/2012,27.5,76,0
6/2/2012,30.8,59,0
6/3/2012,31,56,0
6/4/2012,31,57,0
6/5/2012,28.9,68,10
6/6/2012,29.6,64,19
6/7/2012,28.9,68,11
6/8/2012,27.8,75,1
6/9/2012,30.4,56,0
6/10/2012,28.6,62,0
6/11/2012,29.7,60,0
6/12/2012,29.5,53,0
6/13/2012,28.2,66,0
6/14/2012,27.3,68,0
6/15/2012,26.6,70,0
6/16/2012,27,68,0
6/17/2012,26.8,70,0
6/18/2012,27.3,74,0
6/19/2012,27.1,73,0
6/20/2012,28.5,68,0
6/21/2012,27.8,76,0
6/22/2012,27.7,72,0
6/23/2012,27.1,68,0
6/24/2012,27.6,69,0
6/25/2012,26.8,72,0
6/26/2012,27.8,75,0
6/27/2012,27.6,74,0
6/28/2012,28.2,72,0
6/29/2012,28,76,0
6/30/2012,28.6,68,0
7/1/2012,28.3,73,8
7/2/2012,27.7,75,0
7/3/2012,26.8,79,8888
7/4/2012,26.9,72,0
7/5/2012,27.9,73,0
7/6/2012,27.5,72,8888
7/7/2012,27.3,77,4
7/8/2012,25.5,82,6
7/9/2012,27.7,71,1
7/10/2012,25.7,82,0
7/11/2012,27.4,72,0
7/12/2012,28,69,0
7/13/2012,28.5,61,0
7/14/2012,28.1,74,2
7/15/2012,27.4,73,0
7/16/2012,27.3,77,1
7/17/2012,27.5,73,0
7/18/2012,27.2,70,0
7/19/2012,27.6,75,0
7/20/2012,28,73,0
7/21/2012,27.2,80,8888
7/22/2012,28.6,70,0
7/23/2012,28.4,70,6
7/24/2012,26.8,66,8888
7/25/2012,30.4,54,0
7/26/2012,28.5,65,0
7/27/2012,29.2,68,0
7/28/2012,28.5,64,0
7/29/2012,28.5,65,0
7/30/2012,28.5,66,0
7/31/2012,28.2,64,0
8/1/2012,29.1,63,0
8/2/2012,28.6,67,0
8/3/2012,28.7,60,0
8/4/2012,29.5,55,0
8/5/2012,28.2,66,0
8/6/2012,27.4,70,0
8/7/2012,27.8,72,0
8/8/2012,27.6,78,0
8/9/2012,27.8,78,0
8/10/2012,28,75,0
8/11/2012,27.3,76,0
8/12/2012,27.4,76,0
8/13/2012,27.7,75,0
8/14/2012,28.2,75,0
8/15/2012,27.9,80,7
8/16/2012,27.3,79,0
8/17/2012,28.1,67,0
8/18/2012,27.8,72,0
8/19/2012,27.7,77,0
8/20/2012,25.7,84,9
8/21/2012,26.7,78,0
8/22/2012,26.1,82,18
8/23/2012,26.5,79,8888
8/24/2012,28,67,0
8/25/2012,26.7,76,1
8/26/2012,26.9,75,8888
8/27/2012,27.1,72,3
8/28/2012,28.1,64,1
8/29/2012,28.2,70,0
8/30/2012,26.9,74,0
8/31/2012,27.1,77,0
9/1/2012,28.4,80,0
9/2/2012,27.1,78,0
9/3/2012,28.1,75,0
9/4/2012,28.3,76,0
9/5/2012,29.1,76,10
9/6/2012,27.4,78,0
9/7/2012,28.4,71,0
9/8/2012,28.2,73,0
