_id,Date,Year,Month,Day,TN,TX,TAVG,__v
689175a03cfdbc8f3403c59a,2005-04-27,2005,4,27,20,34.4,27.2,0
689175a03cfdbc8f3403c59b,2005-04-28,2005,4,28,23,34.4,28.7,0
689175a03cfdbc8f3403c59c,2005-04-29,2005,4,29,20,34.8,27.4,0
689175a03cfdbc8f3403c59d,2005-04-30,2005,4,30,23,34.4,28.7,0
689175a03cfdbc8f3403c59e,2005-05-01,2005,5,1,20,34,27,0
689175a03cfdbc8f3403c59f,2005-05-02,2005,5,2,23,34.4,28.7,0
689175a03cfdbc8f3403c5a0,2005-05-03,2005,5,3,20,34,27,0
689175a03cfdbc8f3403c5a1,2005-05-04,2005,5,4,23,34.4,28.7,0
689175a03cfdbc8f3403c5a2,2005-05-05,2005,5,5,20,34.4,27.2,0
689175a03cfdbc8f3403c5a3,2005-05-06,2005,5,6,23,35,29,0
689175a03cfdbc8f3403c5a4,2005-05-07,2005,5,7,19,35,27,0
689175a03cfdbc8f3403c5a5,2005-05-08,2005,5,8,23,35,29,0
689175a03cfdbc8f3403c5a6,2005-05-09,2005,5,9,20,31.8,25.9,0
689175a03cfdbc8f3403c5a7,2005-05-10,2005,5,10,23,35,29,0
689175a03cfdbc8f3403c5a8,2005-05-11,2005,5,11,20,32.4,26.2,0
689175a03cfdbc8f3403c5a9,2005-05-12,2005,5,12,23,30.4,26.7,0
689175a03cfdbc8f3403c5aa,2005-05-13,2005,5,13,23,33.2,28.1,0
689175a03cfdbc8f3403c5ab,2005-05-14,2005,5,14,23,33.4,28.2,0
689175a03cfdbc8f3403c5ac,2005-05-15,2005,5,15,23,33.6,28.3,0
689175a03cfdbc8f3403c5ad,2005-05-16,2005,5,16,23,34,28.5,0
689175a03cfdbc8f3403c5ae,2005-05-17,2005,5,17,23,34,28.5,0
689175a03cfdbc8f3403c5af,2005-05-18,2005,5,18,23,34.4,28.7,0
689175a03cfdbc8f3403c5b0,2005-05-19,2005,5,19,22,34.4,28.2,0
689175a03cfdbc8f3403c5b1,2005-05-20,2005,5,20,22,36.6,29.3,0
689175a03cfdbc8f3403c5b2,2005-05-21,2005,5,21,20,34.6,27.3,0
689175a03cfdbc8f3403c5b3,2005-05-22,2005,5,22,20,34.6,27.3,0
689175a03cfdbc8f3403c5b4,2005-05-23,2005,5,23,20,34.6,27.3,0
689175a03cfdbc8f3403c5b5,2005-05-24,2005,5,24,20,34.6,27.3,0
689175a03cfdbc8f3403c5b6,2005-05-25,2005,5,25,20,34.6,27.3,0
689175a03cfdbc8f3403c5b7,2005-05-26,2005,5,26,20,34.6,27.3,0
689175a03cfdbc8f3403c5b8,2005-05-27,2005,5,27,20,34.6,27.3,0
689175a03cfdbc8f3403c5b9,2005-05-28,2005,5,28,20,34.4,27.2,0
689175a03cfdbc8f3403c5ba,2005-05-29,2005,5,29,20,34.6,27.3,0
689175a03cfdbc8f3403c5bb,2005-05-30,2005,5,30,20,34.6,27.3,0
689175a03cfdbc8f3403c5bc,2005-05-31,2005,5,31,20,33,26.5,0
689175a03cfdbc8f3403c5bd,2005-06-01,2005,6,1,20,35,27.5,0
689175a03cfdbc8f3403c5be,2005-06-02,2005,6,2,20,33.6,26.8,0
689175a03cfdbc8f3403c5bf,2005-06-03,2005,6,3,20,34.4,27.2,0
689175a03cfdbc8f3403c5c0,2005-06-04,2005,6,4,20,34.4,27.2,0
689175a03cfdbc8f3403c5c1,2005-06-05,2005,6,5,20,34.4,27.2,0
689175a03cfdbc8f3403c5c2,2005-06-06,2005,6,6,20,34.6,27.3,0
689175a03cfdbc8f3403c5c3,2005-06-07,2005,6,7,20,34.4,27.2,0
689175a03cfdbc8f3403c5c4,2005-06-08,2005,6,8,20,34,27,0
689175a03cfdbc8f3403c5c5,2005-06-09,2005,6,9,20,33.9,26.95,0
689175a03cfdbc8f3403c5c6,2005-06-10,2005,6,10,20,34,27,0
689175a03cfdbc8f3403c5c7,2005-06-11,2005,6,11,20,35,27.5,0
689175a03cfdbc8f3403c5c8,2005-06-12,2005,6,12,20,35,27.5,0
689175a03cfdbc8f3403c5c9,2005-06-13,2005,6,13,19,35,27,0
689175a03cfdbc8f3403c5ca,2005-06-14,2005,6,14,20,35,27.5,0
689175a03cfdbc8f3403c5cb,2005-06-15,2005,6,15,19,35,27,0
689175a03cfdbc8f3403c5cc,2005-06-16,2005,6,16,19,32,25.5,0
689175a03cfdbc8f3403c5cd,2005-06-17,2005,6,17,19,29.4,24.2,0
689175a03cfdbc8f3403c5ce,2005-06-18,2005,6,18,19,31,25,0
