_id,forecast_date,split_ratio,config_id,timestamp,parameters.RR_imputed.forecast_value,parameters.RR_imputed.model_metadata.alpha,parameters.RR_imputed.model_metadata.beta,parameters.RR_imputed.model_metadata.gamma,parameters.RR_imputed.model_metadata.use_seasonal,parameters.RR_imputed.model_metadata.seasonal_periods,parameters.RR_imputed.model_metadata.lambda_boxcox,parameters.TAVG.forecast_value,parameters.TAVG.model_metadata.alpha,parameters.TAVG.model_metadata.beta,parameters.TAVG.model_metadata.gamma,parameters.TAVG.model_metadata.use_seasonal,parameters.TAVG.model_metadata.seasonal_periods,parameters.TAVG.model_metadata.lambda_boxcox,parameters.RH_AVG_preprocessed.forecast_value,parameters.RH_AVG_preprocessed.model_metadata.alpha,parameters.RH_AVG_preprocessed.model_metadata.beta,parameters.RH_AVG_preprocessed.model_metadata.gamma,parameters.RH_AVG_preprocessed.model_metadata.use_seasonal,parameters.RH_AVG_preprocessed.model_metadata.seasonal_periods,parameters.RH_AVG_preprocessed.model_metadata.lambda_boxcox,parameters.ALLSKY_SFC_SW_DWN.forecast_value,parameters.ALLSKY_SFC_SW_DWN.model_metadata.alpha,parameters.ALLSKY_SFC_SW_DWN.model_metadata.beta,parameters.ALLSKY_SFC_SW_DWN.model_metadata.gamma,parameters.ALLSKY_SFC_SW_DWN.model_metadata.use_seasonal,parameters.ALLSKY_SFC_SW_DWN.model_metadata.seasonal_periods,parameters.ALLSKY_SFC_SW_DWN.model_metadata.lambda_boxcox
696216e2aea0d23a7f0be6f4,2025-11-04,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914470,2.6295472482128392,0.3,0.1,0.3,true,182,,29.861899526284645,0.5,0.1,0.5,true,730,,64.98193074563204,0.5,0.3,0.5,true,365,,17.44457080791788,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6f5,2025-11-05,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914492,4.782027142048888,0.3,0.1,0.3,true,182,,29.716669399573636,0.5,0.1,0.5,true,730,,67.30678769358697,0.5,0.3,0.5,true,365,,15.552775742844021,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6f6,2025-11-06,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914515,1.937488398055132,0.3,0.1,0.3,true,182,,29.74640310322694,0.5,0.1,0.5,true,730,,65.97455141531935,0.5,0.3,0.5,true,365,,15.738958714591728,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6f7,2025-11-07,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914537,0,0.3,0.1,0.3,true,182,,29.471139732782508,0.5,0.1,0.5,true,730,,70.14965195980137,0.5,0.3,0.5,true,365,,14.981360203921977,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6f8,2025-11-08,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914560,0,0.3,0.1,0.3,true,182,,29.20597178744138,0.5,0.1,0.5,true,730,,72.17753201946026,0.5,0.3,0.5,true,365,,16.623222311573855,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6f9,2025-11-09,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914584,5.855793699742261,0.3,0.1,0.3,true,182,,29.040860996174363,0.5,0.1,0.5,true,730,,72.49825244794881,0.5,0.3,0.5,true,365,,16.684264658996916,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6fa,2025-11-10,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914615,0.21420777694357618,0.3,0.1,0.3,true,182,,28.88061089226956,0.5,0.1,0.5,true,730,,70.04729327537528,0.5,0.3,0.5,true,365,,15.355329462941668,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6fb,2025-11-11,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914638,0,0.3,0.1,0.3,true,182,,29.010380040405295,0.5,0.1,0.5,true,730,,69.13168448431213,0.5,0.3,0.5,true,365,,15.792112810017171,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6fc,2025-11-12,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914661,0,0.3,0.1,0.3,true,182,,29.410266047614144,0.5,0.1,0.5,true,730,,70.15451071011651,0.5,0.3,0.5,true,365,,15.848751716934679,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6fd,2025-11-13,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914684,0,0.3,0.1,0.3,true,182,,28.747574528874782,0.5,0.1,0.5,true,730,,71.62805651673871,0.5,0.3,0.5,true,365,,16.894633197083525,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6fe,2025-11-14,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914706,0,0.3,0.1,0.3,true,182,,29.17518563208282,0.5,0.1,0.5,true,730,,69.9825031629159,0.5,0.3,0.5,true,365,,15.756876672879923,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6ff,2025-11-15,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914729,2.402440478535045,0.3,0.1,0.3,true,182,,29.11766965116823,0.5,0.1,0.5,true,730,,71.10615260643351,0.5,0.3,0.5,true,365,,16.63182964281617,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be700,2025-11-16,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914752,4.968944917656032,0.3,0.1,0.3,true,182,,29.24447533708134,0.5,0.1,0.5,true,730,,71.6154365858647,0.5,0.3,0.5,true,365,,15.216605201899343,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be701,2025-11-17,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914776,0.34241628160559,0.3,0.1,0.3,true,182,,29.13912976489869,0.5,0.1,0.5,true,730,,70.94390974068003,0.5,0.3,0.5,true,365,,14.152887243837004,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be702,2025-11-18,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914799,0,0.3,0.1,0.3,true,182,,28.779098154709136,0.5,0.1,0.5,true,730,,71.01412090927968,0.5,0.3,0.5,true,365,,16.402305838778293,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be703,2025-11-19,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914822,4.154143765092067,0.3,0.1,0.3,true,182,,29.07908601871032,0.5,0.1,0.5,true,730,,70.73903965312822,0.5,0.3,0.5,true,365,,16.042713789034806,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be704,2025-11-20,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914845,2.0324648149788835,0.3,0.1,0.3,true,182,,29.258970469308306,0.5,0.1,0.5,true,730,,72.12561706016331,0.5,0.3,0.5,true,365,,15.941666540093898,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be705,2025-11-21,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914867,1.6369001624365327,0.3,0.1,0.3,true,182,,29.109031251356406,0.5,0.1,0.5,true,730,,70.97858831800944,0.5,0.3,0.5,true,365,,14.862570316040584,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be706,2025-11-22,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914890,2.552669417961319,0.3,0.1,0.3,true,182,,29.158572386770793,0.5,0.1,0.5,true,730,,71.83219795582774,0.5,0.3,0.5,true,365,,15.072769940137391,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be707,2025-11-23,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914913,0,0.3,0.1,0.3,true,182,,29.481404057405427,0.5,0.1,0.5,true,730,,70.8879714266963,0.5,0.3,0.5,true,365,,14.983874052651249,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be708,2025-11-24,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914936,0,0.3,0.1,0.3,true,182,,28.952877231885644,0.5,0.1,0.5,true,730,,74.0253193484434,0.5,0.3,0.5,true,365,,15.904835456093833,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be709,2025-11-25,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914959,0,0.3,0.1,0.3,true,182,,28.543593694271262,0.5,0.1,0.5,true,730,,71.1438369480552,0.5,0.3,0.5,true,365,,13.60513844962917,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be70a,2025-11-26,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.914982,2.8169260519244164,0.3,0.1,0.3,true,182,,28.7881744513234,0.5,0.1,0.5,true,730,,69.17565088214619,0.5,0.3,0.5,true,365,,14.17109489730225,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be70b,2025-11-27,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915015,4.964495630562535,0.3,0.1,0.3,true,182,,29.07273101703338,0.5,0.1,0.5,true,730,,68.91255708939373,0.5,0.3,0.5,true,365,,13.70016039943133,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be70c,2025-11-28,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915038,5.1601101917155745,0.3,0.1,0.3,true,182,,29.037358612593422,0.5,0.1,0.5,true,730,,70.67157792059446,0.5,0.3,0.5,true,365,,13.026951503834043,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be70d,2025-11-29,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915061,0.3274986238614588,0.3,0.1,0.3,true,182,,29.179594980594665,0.5,0.1,0.5,true,730,,71.74118487265807,0.5,0.3,0.5,true,365,,14.380697467834096,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be70e,2025-11-30,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915083,0.35658878081153045,0.3,0.1,0.3,true,182,,29.15335049292971,0.5,0.1,0.5,true,730,,71.8869951175211,0.5,0.3,0.5,true,365,,14.03287711869326,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be70f,2025-12-01,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915105,2.811116198250771,0.3,0.1,0.3,true,182,,29.217029060645455,0.5,0.1,0.5,true,730,,72.5202201054604,0.5,0.3,0.5,true,365,,13.779422483497116,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be710,2025-12-02,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915128,0.8514006521085422,0.3,0.1,0.3,true,182,,28.93676738019489,0.5,0.1,0.5,true,730,,70.65533908337854,0.5,0.3,0.5,true,365,,13.633319803162111,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be711,2025-12-03,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915151,1.3130107747916766,0.3,0.1,0.3,true,182,,29.015706727670075,0.5,0.1,0.5,true,730,,70.02155626203715,0.5,0.3,0.5,true,365,,13.823344895265361,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be712,2025-12-04,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915172,0,0.3,0.1,0.3,true,182,,29.241467550205336,0.5,0.1,0.5,true,730,,69.00954834099103,0.5,0.3,0.5,true,365,,14.054760971028836,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be713,2025-12-05,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915195,0.5000585884425695,0.3,0.1,0.3,true,182,,29.011339115119032,0.5,0.1,0.5,true,730,,69.1214697696311,0.5,0.3,0.5,true,365,,15.86743455750489,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be714,2025-12-06,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915217,5.254978445697399,0.3,0.1,0.3,true,182,,28.916210194975072,0.5,0.1,0.5,true,730,,70.78855015330666,0.5,0.3,0.5,true,365,,16.150594749269544,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be715,2025-12-07,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915238,1.2896036408434346,0.3,0.1,0.3,true,182,,29.095860818244276,0.5,0.1,0.5,true,730,,72.43602016840899,0.5,0.3,0.5,true,365,,15.617305154389836,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be716,2025-12-08,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915261,1.8427704722375475,0.3,0.1,0.3,true,182,,28.440465753951806,0.5,0.1,0.5,true,730,,71.31204487141503,0.5,0.3,0.5,true,365,,16.02526956112624,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be717,2025-12-09,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915284,0,0.3,0.1,0.3,true,182,,28.764827924082773,0.5,0.1,0.5,true,730,,71.33265935484948,0.5,0.3,0.5,true,365,,15.175360719328076,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be718,2025-12-10,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915308,0,0.3,0.1,0.3,true,182,,28.634704030715735,0.5,0.1,0.5,true,730,,71.03703442498328,0.5,0.3,0.5,true,365,,15.61858303532199,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be719,2025-12-11,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915331,1.4011717342021006,0.3,0.1,0.3,true,182,,28.66476360294847,0.5,0.1,0.5,true,730,,73.1959798757866,0.5,0.3,0.5,true,365,,16.19751714461836,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be71a,2025-12-12,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915355,0.10256701224703324,0.3,0.1,0.3,true,182,,28.40969819648831,0.5,0.1,0.5,true,730,,71.06594596339399,0.5,0.3,0.5,true,365,,14.946838959219596,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be71b,2025-12-13,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915378,0.8789295892813369,0.3,0.1,0.3,true,182,,29.08439020844718,0.5,0.1,0.5,true,730,,67.80343747810902,0.5,0.3,0.5,true,365,,16.78295514325749,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be71c,2025-12-14,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.915401,0,0.3,0.1,0.3,true,182,,29.038997406519716,0.5,0.1,0.5,true,730,,68.19909288111116,0.5,0.3,0.5,true,365,,14.705739267834044,0.3,0.1,0.5,true,365,
