_id,Date,Year,month,day,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M,__v
6958bb42a2106ae9c65ee85d,2005-03-08T00:00:00.000Z,2005,3,8,26.97,28.86,25.74,80.31,1.01,20.65,5.51,7.03,69.4,0
6958bb42a2106ae9c65ee85e,2005-03-09T00:00:00.000Z,2005,3,9,26.93,29.63,24.93,76.31,0.12,23.56,4.17,5.35,55,0
6958bb42a2106ae9c65ee85f,2005-03-10T00:00:00.000Z,2005,3,10,26.36,29.3,24.04,76.3,0,23.2,3.55,5.2,35.3,0
6958bb42a2106ae9c65ee860,2005-03-11T00:00:00.000Z,2005,3,11,26.67,29.97,23.66,72.38,0.02,22.53,2.8,3.64,49.4,0
6958bb42a2106ae9c65ee861,2005-03-12T00:00:00.000Z,2005,3,12,27.11,29.97,24.95,75.15,0,23.12,2.7,4.08,34.1,0
6958bb42a2106ae9c65ee862,2005-03-13T00:00:00.000Z,2005,3,13,27.26,29.81,25.53,74.47,0.57,21.33,2.54,4.34,21.1,0
6958bb42a2106ae9c65ee863,2005-03-14T00:00:00.000Z,2005,3,14,27.28,29.93,25.62,76.6,2.59,13.48,2.63,3.23,53.9,0
6958bb42a2106ae9c65ee864,2005-03-15T00:00:00.000Z,2005,3,15,27.35,29.92,25.65,79.69,3.12,20.94,2.56,4.23,30.8,0
6958bb42a2106ae9c65ee865,2005-03-16T00:00:00.000Z,2005,3,16,28.01,30.92,25.99,75.84,17.43,17.03,1.69,3.04,117.1,0
6958bb42a2106ae9c65ee866,2005-03-17T00:00:00.000Z,2005,3,17,27.08,28.88,25.89,82.76,4.28,19.92,4.12,6.35,59.4,0
6958bb42a2106ae9c65ee867,2005-03-18T00:00:00.000Z,2005,3,18,27.38,29.99,25.17,78.83,0.17,20.55,5.13,6.89,59.7,0
6958bb42a2106ae9c65ee868,2005-03-19T00:00:00.000Z,2005,3,19,27.5,29.95,25.79,79.28,0.79,19.75,5.28,7.59,59.4,0
6958bb42a2106ae9c65ee869,2005-03-20T00:00:00.000Z,2005,3,20,27.55,29.75,25.88,78.33,2.3,18.84,3.92,6.18,71.2,0
6958bb42a2106ae9c65ee86a,2005-03-21T00:00:00.000Z,2005,3,21,27.74,30.25,26.02,77.27,6.35,16.33,2.77,4.59,92.5,0
6958bb42a2106ae9c65ee86b,2005-03-22T00:00:00.000Z,2005,3,22,27.61,29.37,26.33,75.73,12.98,13.04,1.39,2.29,287.1,0
6958bb42a2106ae9c65ee86c,2005-03-23T00:00:00.000Z,2005,3,23,28.46,31.15,26.5,70.47,0.27,20.15,1.78,3.94,205.2,0
6958bb42a2106ae9c65ee86d,2005-03-24T00:00:00.000Z,2005,3,24,27.87,29.64,26.85,76.06,2.67,18.94,1.88,3.37,28.2,0
6958bb42a2106ae9c65ee86e,2005-03-25T00:00:00.000Z,2005,3,25,27.96,30.27,26.6,75.84,5.92,15.96,1.63,3.15,350.9,0
6958bb42a2106ae9c65ee86f,2005-03-26T00:00:00.000Z,2005,3,26,27.52,29.44,26.29,77.1,16.33,13.22,1.72,3.61,223.6,0
6958bb42a2106ae9c65ee870,2005-03-27T00:00:00.000Z,2005,3,27,27.63,30.41,25.74,77.06,10.98,21,2.25,4.03,186.5,0
6958bb42a2106ae9c65ee871,2005-03-28T00:00:00.000Z,2005,3,28,26.45,27.49,25.74,85.32,11.16,14.37,2.1,3.16,247.2,0
6958bb42a2106ae9c65ee872,2005-03-29T00:00:00.000Z,2005,3,29,26.44,28.25,25.28,83.16,5.55,19.2,4.19,5.28,214.9,0
6958bb42a2106ae9c65ee873,2005-03-30T00:00:00.000Z,2005,3,30,27.43,29.92,24.99,77.41,1.13,12.95,2.2,3.56,199.4,0
6958bb42a2106ae9c65ee874,2005-03-31T00:00:00.000Z,2005,3,31,26.99,29.24,25.65,83.3,3.14,18.32,2.73,3.89,239.6,0
6958bb42a2106ae9c65ee875,2005-04-01T00:00:00.000Z,2005,4,1,28.01,31.19,25.63,76.17,0.58,19.23,2.57,4.18,192.2,0
6958bb42a2106ae9c65ee876,2005-04-02T00:00:00.000Z,2005,4,2,27.8,30.29,25.91,77.38,0.67,20.31,3.48,5.55,161.5,0
6958bb42a2106ae9c65ee877,2005-04-03T00:00:00.000Z,2005,4,3,27.42,29.55,25.97,79.16,1.76,20.24,1.67,2.46,106.1,0
6958bb42a2106ae9c65ee878,2005-04-04T00:00:00.000Z,2005,4,4,27.15,29.13,25.77,81.76,1.63,21.62,2.12,3.01,172.7,0
6958bb42a2106ae9c65ee879,2005-04-05T00:00:00.000Z,2005,4,5,28.1,31.03,25.77,72.01,1.47,21.36,2.27,3.92,213.1,0
6958bb42a2106ae9c65ee87a,2005-04-06T00:00:00.000Z,2005,4,6,27.5,30.16,25.47,74.98,1.38,22.64,3.01,4.23,262.4,0
6958bb42a2106ae9c65ee87b,2005-04-07T00:00:00.000Z,2005,4,7,28.22,30.91,25.59,71.11,0.66,22,1.47,2.54,200.9,0
6958bb42a2106ae9c65ee87c,2005-04-08T00:00:00.000Z,2005,4,8,27.94,30.53,25.68,71.21,1.42,20.25,4.63,5.93,210.9,0
