Date,Year,Month,Day,SWRad,StDev,Max
2007-07-21,2007,7,21,711.42,2,5
2007-07-22,2007,7,22,953.79,2,5
2007-07-23,2007,7,23,873.15,2,5
2007-07-24,2007,7,24,243.71,2,5
2007-07-25,2007,7,25,1008.0,2,5
2007-07-26,2007,7,26,1081.02,2,5
2007-07-27,2007,7,27,997.25,2,5
2007-07-28,2007,7,28,999.94,2,5
2007-07-29,2007,7,29,1169.73,2,5
2007-07-30,2007,7,30,660.35,2,5
2007-07-31,2007,7,31,622.72,2,5
2007-08-01,2007,8,1,1040.26,2,5
2007-08-02,2007,8,2,1232.0,2,5
2007-08-03,2007,8,3,1055.94,2,5
2007-08-04,2007,8,4,1072.96,2,5
2007-08-05,2007,8,5,1064.9,2,5
2007-08-06,2007,8,6,1130.3,2,5
2007-08-07,2007,8,7,1042.94,2,5
2007-08-08,2007,8,8,1159.42,2,5
2007-08-09,2007,8,9,952.9,2,5
2007-08-10,2007,8,10,909.89,2,5
2007-08-11,2007,8,11,1123.58,2,5
2007-08-12,2007,8,12,1146.88,2,5
2007-08-13,2007,8,13,600.77,2,5
2007-08-14,2007,8,14,1091.33,2,5
2007-08-15,2007,8,15,657.22,2,5
2007-08-16,2007,8,16,914.37,2,5
2007-08-17,2007,8,17,1048.32,2,5
2007-08-18,2007,8,18,1100.29,2,5
2007-08-19,2007,8,19,518.78,2,5
2007-08-20,2007,8,20,716.35,2,5
2007-08-21,2007,8,21,970.37,2,5
2007-08-22,2007,8,22,950.66,2,5
2007-08-23,2007,8,23,1185.41,2,5
2007-08-24,2007,8,24,1149.57,2,5
2007-08-25,2007,8,25,1122.24,2,5
2007-08-26,2007,8,26,1272.32,2,5
2007-08-27,2007,8,27,1167.94,2,5
2007-08-28,2007,8,28,1213.18,2,5
2007-08-29,2007,8,29,889.28,2,5
2007-08-30,2007,8,30,760.7,2,5
2007-08-31,2007,8,31,720.83,2,5
2007-09-01,2007,9,1,314.5,2,5
2007-09-02,2007,9,2,1319.36,2,5
2007-09-03,2007,9,3,1246.34,2,5
2007-09-04,2007,9,4,1145.54,2,5
2007-09-05,2007,9,5,921.54,2,5
2007-09-06,2007,9,6,1093.12,2,5
2007-09-07,2007,9,7,1121.34,2,5
2007-09-08,2007,9,8,1316.67,2,5
2007-09-09,2007,9,9,1304.13,2,5
2007-09-10,2007,9,10,1256.19,2,5
2007-09-11,2007,9,11,1059.07,2,5
2007-09-12,2007,9,12,1204.22,2,5
2007-09-13,2007,9,13,1107.01,2,5
2007-09-14,2007,9,14,1056.83,2,5
2007-09-15,2007,9,15,941.7,2,5
2007-09-16,2007,9,16,1092.67,2,5
2007-09-17,2007,9,17,1196.16,2,5
2007-09-18,2007,9,18,1049.22,2,5
2007-09-19,2007,9,19,981.12,2,5
2007-09-20,2007,9,20,1184.51,2,5
2007-09-21,2007,9,21,1103.87,2,5
2007-09-22,2007,9,22,1078.78,2,5
2007-09-23,2007,9,23,1346.24,2,5
2007-09-24,2007,9,24,1065.34,2,5
2007-09-25,2007,9,25,1323.84,2,5
2007-09-26,2007,9,26,1115.07,2,5
2007-09-27,2007,9,27,1153.15,2,5
2007-09-28,2007,9,28,1058.62,2,5
2007-09-29,2007,9,29,1087.3,2,5
2007-09-30,2007,9,30,1122.24,2,5
2007-10-01,2007,10,1,976.19,2,5
2007-10-02,2007,10,2,1142.85,2,5
2007-10-03,2007,10,3,1071.62,2,5
2007-10-04,2007,10,4,863.3,2,5
2007-10-05,2007,10,5,454.27,2,5
2007-10-06,2007,10,6,1128.06,2,5
2007-10-07,2007,10,7,,0,0
2007-10-08,2007,10,8,1060.79,2,1
2007-10-09,2007,10,9,1339.77,2,1
2007-10-10,2007,10,10,1126.93,2,1
2007-10-11,2007,10,11,1142.76,2,1
2007-10-12,2007,10,12,1054.27,2,1
2007-10-13,2007,10,13,689.13,2,1
2007-10-14,2007,10,14,487.0,2,1
2007-10-15,2007,10,15,1293.66,2,1
2007-10-16,2007,10,16,,2,1
2007-10-17,2007,10,17,869.37,2,1
2007-10-18,2007,10,18,1092.46,2,1
2007-10-19,2007,10,19,513.08,2,1
2007-10-20,2007,10,20,780.42,2,1
2007-10-21,2007,10,21,773.9,2,1
2007-10-22,2007,10,22,908.96,2,1
2007-10-23,2007,10,23,1345.36,2,1
2007-10-24,2007,10,24,972.77,2,1
2007-10-25,2007,10,25,1254.07,2,1
2007-10-26,2007,10,26,456.26,2,1
2007-10-27,2007,10,27,961.59,2,1
2007-10-28,2007,10,28,1144.16,2,1
2007-10-29,2007,10,29,1157.2,2,1
2007-10-30,2007,10,30,1151.61,2,1
2007-10-31,2007,10,31,1088.27,2,1
2007-11-01,2007,11,1,1238.24,2,1
2007-11-02,2007,11,2,233.64,2,1
2007-11-03,2007,11,3,1174.9,2,1
2007-11-04,2007,11,4,1159.06,2,1
2007-11-05,2007,11,5,1066.85,2,1
2007-11-06,2007,11,6,1193.53,2,1
2007-11-07,2007,11,7,308.16,2,1
2007-11-08,2007,11,8,833.04,2,1
2007-11-09,2007,11,9,434.37,2,1
2007-11-10,2007,11,10,1114.35,2,1
2007-11-11,2007,11,11,1103.64,2,1
2007-11-12,2007,11,12,1115.75,2,1
2007-11-13,2007,11,13,1006.77,2,1
2007-11-14,2007,11,14,1156.27,2,1
2007-11-15,2007,11,15,1173.97,2,1
2007-11-16,2007,11,16,1028.66,2,1
2007-11-17,2007,11,17,1099.91,2,1
2007-11-18,2007,11,18,1247.55,2,1
2007-11-19,2007,11,19,1104.57,2,1
2007-11-20,2007,11,20,,2,1
2007-11-21,2007,11,21,1123.2,2,1
2007-11-22,2007,11,22,1020.27,2,1
2007-11-23,2007,11,23,982.55,2,1
2007-11-24,2007,11,24,977.42,2,1
2007-11-25,2007,11,25,1126.46,2,1
2007-11-26,2007,11,26,1214.95,2,1
2007-11-27,2007,11,27,1105.5,2,1
2007-11-28,2007,11,28,1140.43,2,1
2007-11-29,2007,11,29,995.59,2,1
2007-11-30,2007,11,30,1077.09,2,1
2007-12-01,2007,12,1,1235.91,2,1
2007-12-02,2007,12,2,437.63,2,1
2007-12-03,2007,12,3,471.17,2,1
2007-12-04,2007,12,4,1047.28,2,1
2007-12-05,2007,12,5,1023.07,2,1
2007-12-06,2007,12,6,1078.02,2,1
2007-12-07,2007,12,7,1071.5,2,1
2007-12-08,2007,12,8,1038.44,2,1
2007-12-09,2007,12,9,459.99,2,1
2007-12-10,2007,12,10,584.81,2,1
2007-12-11,2007,12,11,697.05,2,1
2007-12-12,2007,12,12,980.22,2,1
2007-12-13,2007,12,13,1100.38,2,1
2007-12-14,2007,12,14,1109.69,2,1
2007-12-15,2007,12,15,773.9,2,1
2007-12-16,2007,12,16,1021.2,2,1
2007-12-17,2007,12,17,1110.16,2,1
2007-12-18,2007,12,18,1071.04,2,1
2007-12-19,2007,12,19,1051.01,2,1
2007-12-20,2007,12,20,1099.91,2,1
2007-12-21,2007,12,21,1316.48,2,1
2007-12-22,2007,12,22,1184.21,2,1
2007-12-23,2007,12,23,1104.1,2,1
2007-12-24,2007,12,24,775.76,2,1
2007-12-25,2007,12,25,1118.08,2,1
2007-12-26,2007,12,26,929.92,2,1
2007-12-27,2007,12,27,1035.64,2,1
2007-12-28,2007,12,28,1009.56,2,1
2007-12-29,2007,12,29,943.42,2,1
2007-12-30,2007,12,30,973.23,2,1
2007-12-31,2007,12,31,1044.49,2,1
2008-01-01,2008,1,1,1095.72,2,1
2008-01-02,2008,1,2,1001.18,2,1
2008-01-03,2008,1,3,929.45,2,1
2008-01-04,2008,1,4,1153.47,2,1
2008-01-05,2008,1,5,944.36,2,1
2010-07-05,2010,7,5,1002.7,2,5
2010-07-06,2010,7,6,1033.42,2,5
2010-07-07,2010,7,7,1131.11,2,5
2010-07-08,2010,7,8,1202.36,2,5
2010-07-09,2010,7,9,989.9,2,5
2010-07-10,2010,7,10,1043.23,2,5
2010-07-11,2010,7,11,759.96,2,5
2010-07-12,2010,7,12,1034.7,2,5
2010-07-13,2010,7,13,1012.09,2,5
2010-07-14,2010,7,14,102.12,2,5
2010-07-15,2010,7,15,424.22,2,5
2010-07-16,2010,7,16,867.04,2,5
2010-07-17,2010,7,17,1091.87,2,5
2010-07-18,2010,7,18,988.62,2,5
2010-07-19,2010,7,19,978.81,2,5
2010-07-20,2010,7,20,982.65,2,5
2010-07-21,2010,7,21,997.16,2,5
2010-07-22,2010,7,22,1096.56,2,5
2010-07-23,2010,7,23,577.37,2,5
2010-07-24,2010,7,24,919.94,2,5
2010-07-25,2010,7,25,426.78,2,5
2010-07-26,2010,7,26,960.89,2,5
2010-07-27,2010,7,27,989.05,2,5
2011-06-06,2011,6,6,1081.01,1,1
2011-06-07,2011,6,7,1011.02,1,1
2011-06-08,2011,6,8,982.85,1,1
