system:index,NDVI,date,.geo
1_1_1_1_1_1_2_20190105T035139_20190105T040246_T46NGM,0.6114840295720184,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190105T035139_20190105T040246_T46NHL,0.7105506077898979,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190105T035139_20190105T040246_T46NHM,0.703682499425586,2019-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190113T040121_20190113T040442_T46NGL,0.653511970850597,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190113T040121_20190113T040442_T46NGM,0.5542463011118881,2019-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190115T035119_20190115T040213_T46NGM,0.45453914675058804,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190115T035119_20190115T040213_T46NHM,0.49931957162405227,2019-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190123T040041_20190123T040424_T46NGL,0.6600231434966475,2019-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190123T040041_20190123T040424_T46NGM,0.5900699307024447,2019-01-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190125T035039_20190125T040100_T46NGL,0.43649276010489807,2019-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190125T035039_20190125T040100_T46NGM,0.3331610313105311,2019-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190125T035039_20190125T040100_T46NHM,0.12949995924430863,2019-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190130T035011_20190130T035120_T46NGL,0.3700833750555184,2019-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190207T035929_20190207T040937_T46NGL,0.6249982062512309,2019-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_20190207T035929_20190207T040937_T46NGM,0.6076036086893858,2019-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
