Date,Year,Month,Day,SWRad,StDev,Max,Q,S,data_quality,source_priority
2007-06-15,2007,6,15,115.87,160.95,944.83,2,5,high,5
2007-06-16,2007,6,16,189.49,258.82,1071.17,2,5,high,5
2007-06-17,2007,6,17,196.13,260.26,1015.62,2,5,high,5
2007-06-18,2007,6,18,177.54,273.33,1147.78,2,5,high,5
2007-06-19,2007,6,19,165.2,248.53,962.3,2,5,high,5
2007-06-20,2007,6,20,160.73,238.86,843.58,2,5,high,5
2007-06-21,2007,6,21,247.63,338.74,997.7,2,5,high,5
2007-06-22,2007,6,22,211.46,266.67,827.9,2,5,high,5
2007-06-23,2007,6,23,272.74,351.95,1064.9,2,5,high,5
2007-06-24,2007,6,24,205.26,276.45,1034.43,2,5,high,5
2007-06-25,2007,6,25,154.96,220.11,1142.4,2,5,high,5
2007-06-26,2007,6,26,55.15,100.52,633.92,2,5,high,5
2007-06-27,2007,6,27,155.68,202.38,723.97,2,5,high,5
2007-06-28,2007,6,28,141.21,198.43,868.22,2,5,high,5
2007-06-29,2007,6,29,252.52,328.81,1082.82,2,5,high,5
2007-06-30,2007,6,30,267.73,354.89,1017.86,2,5,high,5
2007-07-01,2007,7,1,274.57,347.71,929.15,2,5,high,5
2007-07-02,2007,7,2,269.42,343.92,1028.16,2,5,high,5
2007-07-03,2007,7,3,269.77,337.56,1000.83,2,5,high,5
2007-07-04,2007,7,4,254.5,319.45,935.87,2,5,high,5
2007-07-05,2007,7,5,267.72,353.93,1173.31,2,5,high,5
2007-07-06,2007,7,6,275.56,366.56,986.05,2,5,high,5
2007-07-07,2007,7,7,219.52,294.47,1038.02,2,5,high,5
2007-07-08,2007,7,8,167.98,248.27,882.11,2,5,high,5
2007-07-09,2007,7,9,222.79,310.33,1041.6,2,5,high,5
2007-07-10,2007,7,10,148.35,190.91,554.18,2,5,high,5
2007-07-11,2007,7,11,268.79,357.81,1081.02,2,5,high,5
2007-07-12,2007,7,12,191.11,264.37,1097.15,2,5,high,5
2007-07-13,2007,7,13,218.32,323.74,1076.1,2,5,high,5
2007-07-14,2007,7,14,251.16,340.73,1068.48,2,5,high,5
2007-07-15,2007,7,15,157.52,197.99,605.7,2,5,high,5
2007-07-16,2007,7,16,219.5,316.15,1240.51,2,5,high,5
2007-07-17,2007,7,17,238.2,325.1,1156.74,2,5,high,5
2007-07-18,2007,7,18,206.95,293.76,1070.27,2,5,high,5
2007-07-19,2007,7,19,171.53,255.99,1147.33,2,5,high,5
2007-07-20,2007,7,20,69.91,113.0,468.61,2,5,high,5
2007-07-21,2007,7,21,119.26,165.77,711.42,2,5,high,5
2007-07-22,2007,7,22,172.29,273.82,953.79,2,5,high,5
2007-07-23,2007,7,23,185.56,239.46,873.15,2,5,high,5
2007-07-24,2007,7,24,69.62,86.22,243.71,2,5,high,5
2007-07-25,2007,7,25,280.34,358.66,1008.0,2,5,high,5
2007-07-26,2007,7,26,278.46,363.33,1081.02,2,5,high,5
2007-07-27,2007,7,27,259.75,338.98,997.25,2,5,high,5
2007-07-28,2007,7,28,253.97,340.75,999.94,2,5,high,5
2007-07-29,2007,7,29,215.59,292.37,1169.73,2,5,high,5
2007-07-30,2007,7,30,98.76,149.31,660.35,2,5,high,5
