id_periode,id_petani,bulan_tanam,luas_tanam_m2,bulan_panen,luas_panen_m2,produksi_dalam_gunca,gunca_kg,pengeluaran_rp,harga_jual_perkg,hasil_panen_dijual,status_pengelolaan,jml_tanam_padi_1th,jenis_lahan,air_multi_tanam,pemupukan,jenis_pupuk,pengendalian_hama,jenis_hama,penyakit_padi,pestisida,pengendalian_gulma,cara_pengendalian_gulma
PRD088,PTN052,nov - jan,2500,Februari,2500,6,1080,500.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD089,PTN053,nov - jan,2500,Februari,2500,6,1080,500.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD090,PTN054,nov - jan,10000,Februari,10000,13,2340,35.000.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD091,PTN055,nov - jan,2500,Februari,2500,3,540,600.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD092,PTN056,nov - jan,1000,Februari,1000,7,1260,1.000.000,6500,Tidak,Milik sendiri,1,"Sawah irigasi, Sawah tadah hujan",Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong, Wereng","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD093,PTN057,nov - jan,2500,Januari,2500,8,1450,4.100.000,6500,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,Pupuk urea,Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD094,PTN057,mei - juli,2500,Juli,2500,7,1260,3.700.00,6500,Ya sebagian,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Siput Murbai/Keong",TIDAK ADA,Ada,Ada,Herbisida/Mencabut rumput
PRD095,PTN058,agt - okt,5000,Oktober,5000,8,1440,3.000.000,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD096,PTN059,agt - okt,10000,Oktober,10000,10,1451,3.000.000,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
PRD097,PTN060,agt - okt,5000,Oktober,5000,9,1620,2.000.000,-,Tidak,Milik sendiri,1,Sawah tadah hujan,Mencukupi,Ada pemupukan,KCL,Ada,"Tikus, Siput Murbai/Keong",Busuk batang,Ada,Ada,Herbisida/Mencabut rumput
