Date,Year,month,day,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M
15/3/2025,2025,3,15,27.38,30.79,25.67,82.61,0.52,20.67,1.67,3.2,115.4
14/3/2025,2025,3,14,26.94,28.76,25.21,83.91,9.84,9.43,1.74,2.42,62.7
13/3/2025,2025,3,13,26.93,28.58,25.7,86.15,15.29,8.3,1.6,2.29,42
12/3/2025,2025,3,12,27.22,28.95,25.7,83.91,1.62,19.29,1.69,3.17,56
11/3/2025,2025,3,11,26.84,28.4,25.41,85.1,2.16,16.2,1.68,2.43,26.2
10/3/2025,2025,3,10,27.11,28.84,25.63,88.85,1.38,19.73,2.91,4.62,101.7
9/3/2025,2025,3,9,27.37,28.8,26.38,91.8,107.87,12.77,4.17,5.8,118.1
8/3/2025,2025,3,8,27.61,28.63,26.62,90.86,133.77,18.33,3.16,5.14,100
7/3/2025,2025,3,7,28.11,30.55,26.21,84.2,3.39,19.92,1.59,2.28,87
6/3/2025,2025,3,6,26.99,28.96,25.37,87.01,11.68,15.39,3.18,4.4,334.2
5/3/2025,2025,3,5,27.25,30.01,25.13,85.96,3.69,22.2,4.2,5.07,319.7
4/3/2025,2025,3,4,27.32,30.15,25.08,84,1.06,23.52,3.04,4.2,352.2
3/3/2025,2025,3,3,27.3,30.6,24.17,82.73,0.09,23.99,2.25,3.61,348.4
2/3/2025,2025,3,2,27.44,30.35,25.19,81.04,0.23,23.3,1.45,2.37,32.8
1/3/2025,2025,3,1,26.86,28.49,25.62,87.05,2.94,16.98,2.32,3.89,90.1
28/2/2025,2025,2,28,26.82,29.6,25,86.02,5.54,14.57,2.89,4.06,88
27/2/2025,2025,2,27,25.86,27.55,24.8,87.1,2.61,10.92,2.63,4.04,99.9
26/2/2025,2025,2,26,26.19,27.71,25.39,90.25,2.74,7.33,3.61,5.53,82.5
25/2/2025,2025,2,25,25.89,26.68,24.75,91.05,7.32,11.84,3.97,6.12,80.9
24/2/2025,2025,2,24,26.69,29.59,24.9,82.31,7.98,17.47,2.05,3.61,57.8
23/2/2025,2025,2,23,26.58,28.63,24.85,84.04,2.14,16.66,1.73,2.45,6.2
22/2/2025,2025,2,22,26.81,29.29,24.64,81.26,2.11,19.43,1.81,2.87,8.1
21/2/2025,2025,2,21,26.55,29.26,25.01,82.35,1.18,18.05,1.51,3.33,92.5
20/2/2025,2025,2,20,27.37,30.38,24.55,77.08,0.05,15.98,1.71,3.03,74.4
19/2/2025,2025,2,19,26.62,29,24.53,81.07,0.21,14.73,1.83,2.76,333.8
18/2/2025,2025,2,18,26.62,28.71,24.93,86.14,1.84,19.81,2.32,2.97,320.9
17/2/2025,2025,2,17,26.93,28.71,25.51,86.64,3.53,18.64,2.69,3.21,327.7
16/2/2025,2025,2,16,27.09,28.93,24.96,84.8,0.4,16.17,2.43,3.74,309.9
15/2/2025,2025,2,15,27.72,30.39,25.67,84.1,2.34,10.57,2.71,4.99,327.7
14/2/2025,2025,2,14,26.69,29.24,24.93,83.93,28.66,9.9,1.72,2.4,357.7
13/2/2025,2025,2,13,27.3,29.69,25.53,82.1,8.37,20.9,2.36,3.32,39.2
12/2/2025,2025,2,12,27.02,29.6,25.09,81.66,0.87,22.52,2.53,4.41,52.6
11/2/2025,2025,2,11,26.48,28.5,25.09,84.52,0.62,19.77,2.63,3.82,76
10/2/2025,2025,2,10,27.17,29.33,25.74,80.22,0.27,18.11,2.28,4.34,66.1
